transaction_id,transaction_datetime,transaction_type,amount,origin_account,destination_account,old_balance_origin,new_balance_origin,old_balance_destination,new_balance_destination,is_fraud,is_flagged_fraud,merchant_category,location,channel
TXN-51bce038-2433-475e-9465-9e50398627bc,2025-01-01 00:28:02,CASH_IN,1679.51,ACC77202790,ACC60232033,14325.78,16005.29,5871.47,5871.47,0,0,travel,Sheffield,mobile_app
TXN-d97bec78-1528-4622-8bc1-60fa575f9802,2025-01-01 05:49:31,DEBIT,1408.43,ACC86758847,ACC39233657,7865.91,6457.48,18216.55,19624.98,0,0,groceries,Newcastle,branch
TXN-fd06d66b-d762-4f01-8dd8-a5d7ec632d24,2025-01-01 13:38:25,CASH_OUT,4158.7,ACC40056261,ACC78123659,16426.32,12267.62,21115.05,25273.75,0,0,restaurants,Liverpool,branch
TXN-6c15425b-4d70-42e3-8d4d-fb6d18fd4fd7,2025-01-01 14:52:25,TRANSFER,6621.26,ACC70465583,ACC89699989,3225.44,0.0,5214.41,11835.67,0,0,travel,Liverpool,atm
TXN-9d10e5f1-bc40-4b22-b189-4e1413f6a773,2025-01-01 16:24:15,CASH_IN,585.76,ACC26873477,ACC95133372,19402.52,19988.28,12191.6,12191.6,0,0,travel,Glasgow,atm
TXN-75551a7c-08df-40c2-bac4-d69ed95d70ae,2025-01-01 19:09:05,TRANSFER,8234.59,ACC86609843,ACC34235540,11308.62,3074.03,19894.13,28128.72,0,0,financial_services,Manchester,card_terminal
TXN-888bbee1-c2f3-4bc9-b9b0-b02d6516bba4,2025-01-01 22:23:04,DEBIT,1581.73,ACC57354167,ACC42287985,11543.44,9961.71,21556.33,23138.06,0,0,financial_services,Birmingham,mobile_app
TXN-6c03e7db-8225-4ba9-9617-5ff98dcf2e5a,2025-01-01 23:38:16,DEBIT,237.51,ACC67914523,ACC80067590,13221.91,12984.4,27059.54,27297.05,0,0,financial_services,Bristol,mobile_app
TXN-36040359-e63f-4b18-b8f7-f6f2cd2b2e16,2025-01-01 23:56:40,CASH_OUT,3266.57,ACC82825679,ACC72005415,19406.68,16140.11,12125.25,15391.82,0,0,financial_services,London,atm
TXN-547d1c0f-81f6-4df0-856e-55ba28345e99,2025-01-02 00:20:31,PAYMENT,624.62,ACC24272571,ACC82795691,1763.55,1138.93,4279.07,4903.69,0,0,retail,Edinburgh,online_banking
TXN-2a5186ca-4185-4b14-99b7-7c2011d9f811,2025-01-02 02:14:43,DEBIT,628.38,ACC39835008,ACC27544302,9294.66,8666.28,24116.9,24745.28,0,0,utilities,Sheffield,card_terminal
